,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
450,2017-03-28T14:09:05Z,2017-03-24T05:54:11Z,http://arxiv.org/abs/1703.08289v1,http://arxiv.org/pdf/1703.08289v1,Deep Direct Regression for Multi-Oriented Scene Text Detection,deep direct regress multi orient scene text detect,"In this paper, we first provide a new perspective to divide existing high performance object detection methods into direct and indirect regressions. Direct regression performs boundary regression by predicting the offsets from a given point, while indirect regression predicts the offsets from some bounding box proposals. Then we analyze the drawbacks of the indirect regression, which the recent state-of-the-art detection structures like Faster-RCNN and SSD follows, for multi-oriented scene text detection, and point out the potential superiority of direct regression. To verify this point of view, we propose a deep direct regression based method for multi-oriented scene text detection. Our detection framework is simple and effective with a fully convolutional network and one-step post processing. The fully convolutional network is optimized in an end-to-end way and has bi-task outputs where one is pixel-wise classification between text and non-text, and the other is direct regression to determine the vertex coordinates of quadrilateral text boundaries. The proposed method is particularly beneficial for localizing incidental scene texts. On the ICDAR2015 Incidental Scene Text benchmark, our method achieves the F1-measure of 81%, which is a new state-of-the-art and significantly outperforms previous approaches. On other standard datasets with focused scene texts, our method also reaches the state-of-the-art performance.",paper first provid new perspect divid exist high perform object detect method direct indirect regress direct regress perform boundari regress predict offset given point indirect regress predict offset bound box propos analyz drawback indirect regress recent state art detect structur like faster rcnn ssd follow multi orient scene text detect point potenti superior direct regress verifi point view propos deep direct regress base method multi orient scene text detect detect framework simpl effect fulli convolut network one step post process fulli convolut network optim end end way bi task output one pixel wise classif text non text direct regress determin vertex coordin quadrilater text boundari propos method particular benefici local incident scene text icdar incident scene text benchmark method achiev measur new state art signific outperform previous approach standard dataset focus scene text method also reach state art perform,"['Wenhao He', 'Xu-Yao Zhang', 'Fei Yin', 'Cheng-Lin Liu']",['cs.CV'],True,False,False,True,False,False
452,2017-03-28T14:09:05Z,2017-03-23T22:25:05Z,http://arxiv.org/abs/1703.08245v1,http://arxiv.org/pdf/1703.08245v1,On the Robustness of Convolutional Neural Networks to Internal   Architecture and Weight Perturbations,robust convolut neural network intern architectur weight perturb,"Deep convolutional neural networks are generally regarded as robust function approximators. So far, this intuition is based on perturbations to external stimuli such as the images to be classified. Here we explore the robustness of convolutional neural networks to perturbations to the internal weights and architecture of the network itself. We show that convolutional networks are surprisingly robust to a number of internal perturbations in the higher convolutional layers but the bottom convolutional layers are much more fragile. For instance, Alexnet shows less than a 30% decrease in classification performance when randomly removing over 70% of weight connections in the top convolutional or dense layers but performance is almost at chance with the same perturbation in the first convolutional layer. Finally, we suggest further investigations which could continue to inform the robustness of convolutional networks to internal perturbations.",deep convolut neural network general regard robust function approxim far intuit base perturb extern stimuli imag classifi explor robust convolut neural network perturb intern weight architectur network show convolut network surpris robust number intern perturb higher convolut layer bottom convolut layer much fragil instanc alexnet show less decreas classif perform random remov weight connect top convolut dens layer perform almost chanc perturb first convolut layer final suggest investig could continu inform robust convolut network intern perturb,"['Nicholas Cheney', 'Martin Schrimpf', 'Gabriel Kreiman']","['cs.LG', 'cs.CV']",True,False,False,False,False,False
455,2017-03-28T14:09:05Z,2017-03-24T12:12:37Z,http://arxiv.org/abs/1703.08132v2,http://arxiv.org/pdf/1703.08132v2,Weakly Supervised Action Learning with RNN based Fine-to-coarse Modeling,weak supervis action learn rnn base fine coars model,"We present an approach for weakly supervised learning of human actions. Given a set of videos and an ordered list of the occurring actions, the goal is to infer start and end frames of the related action classes within the video and to train the respective action classifiers without any need for hand labeled frame boundaries. To address this task, we propose a combination of a discriminative representation of subactions, modeled by a recurrent neural network, and a coarse probabilistic model to allow for a temporal alignment and inference over long sequences. While this system alone already generates good results, we show that the performance can be further improved by approximating the number of subactions to the characteristics of the different action classes. To this end, we adapt the number of subaction classes by iterating realignment and reestimation during training. The proposed system is evaluated on two benchmark datasets, the Breakfast and the Hollywood extended dataset, showing a competitive performance on various weak learning tasks such as temporal action segmentation and action alignment.",present approach weak supervis learn human action given set video order list occur action goal infer start end frame relat action class within video train respect action classifi without ani need hand label frame boundari address task propos combin discrimin represent subact model recurr neural network coars probabilist model allow tempor align infer long sequenc system alon alreadi generat good result show perform improv approxim number subact characterist differ action class end adapt number subact class iter realign reestim dure train propos system evalu two benchmark dataset breakfast hollywood extend dataset show competit perform various weak learn task tempor action segment action align,"['Alexander Richard', 'Hilde Kuehne', 'Juergen Gall']",['cs.CV'],True,False,False,False,False,False
456,2017-03-28T14:09:05Z,2017-03-23T15:57:23Z,http://arxiv.org/abs/1703.08120v1,http://arxiv.org/pdf/1703.08120v1,Recurrent and Contextual Models for Visual Question Answering,recurr contextu model visual question answer,"We propose a series of recurrent and contextual neural network models for multiple choice visual question answering on the Visual7W dataset. Motivated by divergent trends in model complexities in the literature, we explore the balance between model expressiveness and simplicity by studying incrementally more complex architectures. We start with LSTM-encoding of input questions and answers; build on this with context generation by LSTM-encodings of neural image and question representations and attention over images; and evaluate the diversity and predictive power of our models and the ensemble thereof. All models are evaluated against a simple baseline inspired by the current state-of-the-art, consisting of involving simple concatenation of bag-of-words and CNN representations for the text and images, respectively. Generally, we observe marked variation in image-reasoning performance between our models not obvious from their overall performance, as well as evidence of dataset bias. Our standalone models achieve accuracies up to $64.6\%$, while the ensemble of all models achieves the best accuracy of $66.67\%$, within $0.5\%$ of the current state-of-the-art for Visual7W.",propos seri recurr contextu neural network model multipl choic visual question answer visualw dataset motiv diverg trend model complex literatur explor balanc model express simplic studi increment complex architectur start lstm encod input question answer build context generat lstm encod neural imag question represent attent imag evalu divers predict power model ensembl thereof model evalu simpl baselin inspir current state art consist involv simpl concaten bag word cnn represent text imag respect general observ mark variat imag reason perform model obvious overal perform well evid dataset bias standalon model achiev accuraci ensembl model achiev best accuraci within current state art visualw,"['Abhijit Sharang', 'Eric Lau']","['cs.CL', 'cs.CV']",True,False,False,False,False,False
467,2017-03-28T14:09:09Z,2017-03-23T09:06:13Z,http://arxiv.org/abs/1703.07971v1,http://arxiv.org/pdf/1703.07971v1,Image-based Localization using Hourglass Networks,imag base local use hourglass network,"In this paper, we propose an encoder-decoder convolutional neural network (CNN) architecture for estimating camera pose (orientation and location) from a single RGB-image. The architecture has a hourglass shape consisting of a chain of convolution and up-convolution layers followed by a regression part. The up-convolution layers are introduced to preserve the fine-grained information of the input image. Following the common practice, we train our model in end-to-end manner utilizing transfer learning from large scale classification data. The experiments demonstrate the performance of the approach on data exhibiting different lighting conditions, reflections, and motion blur. The results indicate a clear improvement over the previous state-of-the-art even when compared to methods that utilize sequence of test frames instead of a single frame.",paper propos encod decod convolut neural network cnn architectur estim camera pose orient locat singl rgb imag architectur hourglass shape consist chain convolut convolut layer follow regress part convolut layer introduc preserv fine grain inform input imag follow common practic train model end end manner util transfer learn larg scale classif data experi demonstr perform approach data exhibit differ light condit reflect motion blur result indic clear improv previous state art even compar method util sequenc test frame instead singl frame,"['Iaroslav Melekhov', 'Juha Ylioinas', 'Juho Kannala', 'Esa Rahtu']",['cs.CV'],True,False,False,True,False,False
487,2017-03-28T14:09:17Z,2017-03-23T13:56:01Z,http://arxiv.org/abs/1703.07523v2,http://arxiv.org/pdf/1703.07523v2,Deeply-Supervised CNN for Prostate Segmentation,deepli supervis cnn prostat segment,"Prostate segmentation from Magnetic Resonance (MR) images plays an important role in image guided interven- tion. However, the lack of clear boundary specifically at the apex and base, and huge variation of shape and texture between the images from different patients make the task very challenging. To overcome these problems, in this paper, we propose a deeply supervised convolutional neural network (CNN) utilizing the convolutional information to accurately segment the prostate from MR images. The proposed model can effectively detect the prostate region with additional deeply supervised layers compared with other approaches. Since some information will be abandoned after convolution, it is necessary to pass the features extracted from early stages to later stages. The experimental results show that significant segmentation accuracy improvement has been achieved by our proposed method compared to other reported approaches.",prostat segment magnet reson mr imag play import role imag guid interven tion howev lack clear boundari specif apex base huge variat shape textur imag differ patient make task veri challeng overcom problem paper propos deepli supervis convolut neural network cnn util convolut inform accur segment prostat mr imag propos model effect detect prostat region addit deepli supervis layer compar approach sinc inform abandon convolut necessari pass featur extract earli stage later stage experiment result show signific segment accuraci improv achiev propos method compar report approach,"['Qikui Zhu', 'Bo Du', 'Baris Turkbey', 'Peter L . Choyke', 'Pingkun Yan']",['cs.CV'],True,False,False,True,False,False
493,2017-03-28T14:09:21Z,2017-03-22T00:22:49Z,http://arxiv.org/abs/1703.07475v1,http://arxiv.org/pdf/1703.07475v1,PKU-MMD: A Large Scale Benchmark for Continuous Multi-Modal Human Action   Understanding,pku mmd larg scale benchmark continu multi modal human action understand,"Despite the fact that many 3D human activity benchmarks being proposed, most existing action datasets focus on the action recognition tasks for the segmented videos. There is a lack of standard large-scale benchmarks, especially for current popular data-hungry deep learning based methods. In this paper, we introduce a new large scale benchmark (PKU-MMD) for continuous multi-modality 3D human action understanding and cover a wide range of complex human activities with well annotated information. PKU-MMD contains 1076 long video sequences in 51 action categories, performed by 66 subjects in three camera views. It contains almost 20,000 action instances and 5.4 million frames in total. Our dataset also provides multi-modality data sources, including RGB, depth, Infrared Radiation and Skeleton. With different modalities, we conduct extensive experiments on our dataset in terms of two scenarios and evaluate different methods by various metrics, including a new proposed evaluation protocol 2D-AP. We believe this large-scale dataset will benefit future researches on action detection for the community.",despit fact mani human activ benchmark propos exist action dataset focus action recognit task segment video lack standard larg scale benchmark especi current popular data hungri deep learn base method paper introduc new larg scale benchmark pku mmd continu multi modal human action understand cover wide rang complex human activ well annot inform pku mmd contain long video sequenc action categori perform subject three camera view contain almost action instanc million frame total dataset also provid multi modal data sourc includ rgb depth infrar radiat skeleton differ modal conduct extens experi dataset term two scenario evalu differ method various metric includ new propos evalu protocol ap believ larg scale dataset benefit futur research action detect communiti,"['Chunhui Liu', 'Yueyu Hu', 'Yanghao Li', 'Sijie Song', 'Jiaying Liu']",['cs.CV'],True,False,False,False,False,False
496,2017-03-28T14:09:21Z,2017-03-21T21:05:21Z,http://arxiv.org/abs/1703.07431v1,http://arxiv.org/pdf/1703.07431v1,IOD-CNN: Integrating Object Detection Networks for Event Recognition,iod cnn integr object detect network event recognit,"Many previous methods have showed the importance of considering semantically relevant objects for performing event recognition, yet none of the methods have exploited the power of deep convolutional neural networks to directly integrate relevant object information into a unified network. We present a novel unified deep CNN architecture which integrates architecturally different, yet semantically-related object detection networks to enhance the performance of the event recognition task. Our architecture allows the sharing of the convolutional layers and a fully connected layer which effectively integrates event recognition, rigid object detection and non-rigid object detection.",mani previous method show import consid semant relev object perform event recognit yet none method exploit power deep convolut neural network direct integr relev object inform unifi network present novel unifi deep cnn architectur integr architectur differ yet semant relat object detect network enhanc perform event recognit task architectur allow share convolut layer fulli connect layer effect integr event recognit rigid object detect non rigid object detect,"['Sungmin Eum', 'Hyungtae Lee', 'Heesung Kwon', 'David Doermann']",['cs.CV'],True,False,False,False,False,False
800,2017-03-28T14:10:52Z,2017-03-27T16:48:03Z,http://arxiv.org/abs/1703.09179v1,http://arxiv.org/pdf/1703.09179v1,Transfer learning for music classification and regression tasks,transfer learn music classif regress task,"In this paper, we present a transfer learning approach for music classification and regression tasks. We propose to use a pretrained convnet feature, a concatenated feature vector using activations of feature maps of multiple layers in a trained convolutional network. We show that how this convnet feature can serve as a general-purpose music representation. In the experiment, a convnet is trained for music tagging and then transferred for many music-related classification and regression tasks as well as an audio-related classification task. In experiments, the convnet feature outperforms the baseline MFCC feature in all tasks and many reported approaches of aggregating MFCCs and low- and high-level music features.",paper present transfer learn approach music classif regress task propos use pretrain convnet featur concaten featur vector use activ featur map multipl layer train convolut network show convnet featur serv general purpos music represent experi convnet train music tag transfer mani music relat classif regress task well audio relat classif task experi convnet featur outperform baselin mfcc featur task mani report approach aggreg mfccs low high level music featur,"['Keunwoo Choi', 'György Fazekas', 'Mark Sandler', 'Kyunghyun Cho']","['cs.CV', 'cs.AI', 'cs.MM', 'cs.SD']",True,False,False,False,False,False
804,2017-03-28T14:10:52Z,2017-03-22T10:08:51Z,http://arxiv.org/abs/1703.07588v1,http://arxiv.org/pdf/1703.07588v1,Gate Activation Signal Analysis for Gated Recurrent Neural Networks and   Its Correlation with Phoneme Boundaries,gate activ signal analysi gate recurr neural network correl phonem boundari,"In this paper we analyze the gate activation signals inside the gated recurrent neural networks, and find the temporal structure of such signals is highly correlated with the phoneme boundaries. This correlation is further verified by a set of experiments for phoneme segmentation, in which better results compared to standard approaches were obtained.",paper analyz gate activ signal insid gate recurr neural network find tempor structur signal high correl phonem boundari correl verifi set experi phonem segment better result compar standard approach obtain,"['Yu-Hsuan Wang', 'Cheng-Tao Chung', 'Hung-yi Lee']","['cs.SD', 'cs.CL', 'cs.LG']",True,False,False,False,False,False
822,2017-03-28T14:11:00Z,2017-03-06T09:57:25Z,http://arxiv.org/abs/1703.01793v1,http://arxiv.org/pdf/1703.01793v1,Multi-Level and Multi-Scale Feature Aggregation Using Pre-trained   Convolutional Neural Networks for Music Auto-tagging,multi level multi scale featur aggreg use pre train convolut neural network music auto tag,"Music auto-tagging is often handled in a similar manner to image classification by regarding the 2D audio spectrogram as image data. However, music auto-tagging is distinguished from image classification in that the tags are highly diverse and have different levels of abstractions. Considering this issue, we propose a convolutional neural networks (CNN)-based architecture that embraces multi-level and multi-scaled features. The architecture is trained in three steps. First, we conduct supervised feature learning to capture local audio features using a set of CNNs with different input sizes. Second, we extract audio features from each layer of the pre-trained convolutional networks separately and aggregate them altogether given a long audio clip. Finally, we put them into fully-connected networks and make final predictions of the tags. Our experiments show that using the combination of multi-level and multi-scale features is highly effective in music auto-tagging and the proposed method outperforms previous state-of-the-arts on the Magnatagatune dataset and the million song dataset. We further show that the proposed architecture is useful in transfer learning.",music auto tag often handl similar manner imag classif regard audio spectrogram imag data howev music auto tag distinguish imag classif tag high divers differ level abstract consid issu propos convolut neural network cnn base architectur embrac multi level multi scale featur architectur train three step first conduct supervis featur learn captur local audio featur use set cnns differ input size second extract audio featur layer pre train convolut network separ aggreg altogeth given long audio clip final put fulli connect network make final predict tag experi show use combin multi level multi scale featur high effect music auto tag propos method outperform previous state art magnatagatun dataset million song dataset show propos architectur use transfer learn,"['Jongpil Lee', 'Juhan Nam']","['cs.NE', 'cs.LG', 'cs.MM', 'cs.SD']",True,False,False,False,False,False
856,2017-03-28T14:11:13Z,2017-02-11T20:04:46Z,http://arxiv.org/abs/1612.07837v2,http://arxiv.org/pdf/1612.07837v2,SampleRNN: An Unconditional End-to-End Neural Audio Generation Model,samplernn uncondit end end neural audio generat model,"In this paper we propose a novel model for unconditional audio generation based on generating one audio sample at a time. We show that our model, which profits from combining memory-less modules, namely autoregressive multilayer perceptrons, and stateful recurrent neural networks in a hierarchical structure is able to capture underlying sources of variations in the temporal sequences over very long time spans, on three datasets of different nature. Human evaluation on the generated samples indicate that our model is preferred over competing models. We also show how each component of the model contributes to the exhibited performance.",paper propos novel model uncondit audio generat base generat one audio sampl time show model profit combin memori less modul name autoregress multilay perceptron state recurr neural network hierarch structur abl captur sourc variat tempor sequenc veri long time span three dataset differ natur human evalu generat sampl indic model prefer compet model also show compon model contribut exhibit perform,"['Soroush Mehri', 'Kundan Kumar', 'Ishaan Gulrajani', 'Rithesh Kumar', 'Shubham Jain', 'Jose Sotelo', 'Aaron Courville', 'Yoshua Bengio']","['cs.SD', 'cs.AI']",True,False,False,False,False,False
