,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,論文タイトル,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
10,2017-03-06T12:10:23Z,2017-03-02T21:23:47Z,http://arxiv.org/abs/1703.00955v1,http://arxiv.org/pdf/1703.00955v1,control text generat,generic generat and manipul of text is challeng and has limit success compar to recent deep generat model in visual domain this paper aim at generat plausibl natur languag sentenc whose attribut are dynam control by learn disentangl latent represent with design semant we propos a new neural generat model which combin variat auto encod and holist attribut discrimin for effect imposit of semant structur with differenti approxim to discret text sampl explicit constraint on independ attribut control and effici collabor learn of generat and discrimin our model learn high interpret represent from even onli word annot and produc realist sentenc with desir attribut quantit evalu valid the accuraci of sentenc and attribut generat,Zhiting Hu|Zichao Yang|Xiaodan Liang|Ruslan Salakhutdinov|Eric P. Xing,cs.LG|cs.AI|cs.CL|stat.ML,1,1,0,0,0,0
11,2017-03-06T12:10:23Z,2017-03-02T20:55:20Z,http://arxiv.org/abs/1703.00948v1,http://arxiv.org/abs/1703.00948v1,dawt dens annot wikipedia text across multipl languag,in this work we open up the dawt dataset dens annot wikipedia text across multipl languag the annot includ label text mention map to entiti repres by their freebas machin id as well as the type of the entiti the data set contain total of 13 6m articl 5 0b token 13 8m mention entiti co occurr dawt contain 4 8 time more anchor text to entiti link than origin present in the wikipedia markup moreov it span sever languag includ english spanish italian german french and arab we also present the methodolog use to generat the dataset which enrich wikipedia markup in order to increas number of link in addit to the main dataset we open up sever deriv dataset includ mention entiti co occurr count and entiti embed as well as map between freebas id and wikidata item id we also discuss two applic of these dataset and hope that open them up would prove use for the natur languag process and inform retriev communiti as well as facilit multi lingual research,Nemanja Spasojevic|Preeti Bhargava|Guoning Hu,cs.IR|cs.AI|cs.CL|cs.SI,0,1,0,0,0,0
12,2017-03-06T12:10:23Z,2017-03-02T16:29:30Z,http://arxiv.org/abs/1703.00848v1,http://arxiv.org/pdf/1703.00848v1,unsupervis imag to imag translat network,most of the exist imag to imag translat framework map an imag in one domain to a correspond imag in anoth are base on supervis learn i e pair of correspond imag in two domain are requir for learn the translat function this larg limit their applic becaus captur correspond imag in two differ domain is often a difficult task to address the issu we propos the unsupervis imag to imag translat unit framework which is base on variat autoencod and generat adversari network the propos framework can learn the translat function without ani correspond imag in two domain we enabl this learn capabl by combin a weight share constraint and an adversari train object through visual result from various unsupervis imag translat task we verifi the effect of the propos framework an ablat studi further reveal the critic design choic moreov we appli the unit framework to the unsupervis domain adapt task and achiev better result than compet algorithm do in benchmark dataset,Ming-Yu Liu|Thomas Breuel|Jan Kautz,cs.CV|cs.AI,0,0,0,1,0,0
13,2017-03-06T12:10:23Z,2017-03-02T15:53:19Z,http://arxiv.org/abs/1703.00838v1,http://arxiv.org/pdf/1703.00838v1,slim semi lazi infer mechan for plan recognit,plan recognit algorithm requir to recogn a complet hierarchi explain the agent s action and goal while the output of such algorithm is inform to the recogn the cost of it calcul is high in run time space and complet moreov perform plan recognit onlin requir the observ agent to reason about futur action that have not yet been seen and maintain a set of hypothes to support all possibl option this paper present a new and effici algorithm for onlin plan recognit call slim semi lazi infer mechan it combin both a bottom up and top down pars process which allow it to commit onli to the minimum necessari action in real time but still provid complet hypothes post factum we show both theoret and empir that although the comput cost of this process is still exponenti there is a signific improv in run time when compar to a state of the art of plan recognit algorithm,Retuh Mirsky|Ya'akov|Gal,cs.AI,0,0,0,0,0,0
14,2017-03-06T12:10:23Z,2017-03-02T12:33:28Z,http://arxiv.org/abs/1703.00760v1,http://arxiv.org/pdf/1703.00760v1,sampl variat of lead sheet,machin learn techniqu have been recent use with spectacular result to generat artefact such as music or text howev these techniqu are still unabl to captur and generat artefact that are convinc structur in this paper we present an approach to generat structur music sequenc we introduc a mechan for sampl effici variat of music sequenc given a input sequenc and a statist model this mechan sampl a set of sequenc whose distanc to the input sequenc is approxim within specifi bound this mechan is implement as an extens of belief propag and use local field to bias the generat we show experiment that sampl sequenc are inde close correl to the standard music similar measur defin by mongeau and sankoff we then show how this mechan can use to implement composit strategi that enforc arbitrari structur on a music lead sheet generat problem,Pierre Roy|Alexandre Papadopoulos|François Pachet,cs.AI,0,0,0,0,0,0
15,2017-03-06T12:10:23Z,2017-03-02T09:11:32Z,http://arxiv.org/abs/1703.00674v1,http://arxiv.org/pdf/1703.00674v1,adapt match for expert system with uncertain task type,onlin two side match market such as q a forum e g stackoverflow quora and onlin labour platform e g upwork critic reli on the abil to propos adequ match base on imperfect knowledg of the two parti to be match this prompt the follow question which match recommend algorithm can in the presenc of such uncertainti lead to effici platform oper to answer this question we develop a model of a task server match system for this model we give a necessari and suffici condit for an incom stream of task to be manag by the system we further identifi a so call back pressur polici under which the throughput that the system can handl is optim we show that this polici achiev strict larger throughput than a natur greedi polici final we valid our model and confirm our theoret find with experi base on log of math stackexchang a stackoverflow forum dedic to mathemat,Virag Shah|Lennart Gulikers|Laurent Massoulie|Milan Vojnovic,cs.AI|cs.LG|stat.ML,0,0,1,0,0,0
16,2017-03-06T12:10:23Z,2017-03-01T23:54:28Z,http://arxiv.org/abs/1703.00556v1,http://arxiv.org/pdf/1703.00556v1,convers rate optim through evolutionari comput,convers optim mean design a web interfac so that as mani user as possibl take a desir action on it such as regist or purchas such design is usual done by hand test one chang at a time through a b test or a limit number of combin through multivari test make it possibl to evalu onli a small fraction of design in a vast design space this paper describ sentient ascend an automat convers optim system that use evolutionari optim to creat effect web interfac design ascend make it possibl to discov and util interact between the design element that are difficult to identifi otherwis moreov evalu of design candid is done in parallel onlin i e with a larg number of real user interact with the system a case studi on a lead generat site learnhotobecom org show that signific improv i e over 43 are possibl beyond human design ascend can therefor be seen as an approach to massiv multivari convers optim base on a massiv parallel interact evolut,Risto Miikkulainen|Neil Iscoe|Aaron Shagrin|Ron Cordell|Cory Schoolland|Myles Brundage|Jonathan Epstein|Randy Dean|Gurmeet Lamba,cs.HC|cs.AI|cs.NE,0,0,0,0,0,0
17,2017-03-06T12:10:23Z,2017-03-01T23:40:42Z,http://arxiv.org/abs/1703.00548v1,http://arxiv.org/pdf/1703.00548v1,evolv deep neural network,the success of deep learn depend on find an architectur to fit the task as deep learn has scale up to more challeng task the architectur have becom difficult to design by hand this paper propos an autom method codeepneat for optim deep learn architectur through evolut by extend exist neuroevolut method to topolog compon and hyperparamet this method achiev result compar to best human design in standard benchmark in object recognit and languag model it also support build a real world applic of autom imag caption on a magazin websit given the anticip increas in avail comput power evolut of deep network is promis approach to construct deep learn applic in the futur,Risto Miikkulainen|Jason Liang|Elliot Meyerson|Aditya Rawal|Dan Fink|Olivier Francon|Bala Raju|Arshak Navruzyan|Nigel Duffy|Babak Hodjat,cs.NE|cs.AI,1,1,0,1,0,0
18,2017-03-06T12:10:23Z,2017-03-01T21:20:11Z,http://arxiv.org/abs/1703.00512v1,http://arxiv.org/pdf/1703.00512v1,pmlb a larg benchmark suit for machin learn evalu and comparison,the select develop or comparison of machin learn method in data mine can be a difficult task base on the target problem and goal of a particular studi numer public avail real world and simul benchmark dataset have emerg from differ sourc but their organ and adopt as standard have been inconsist as such select and curat specif benchmark remain an unnecessari burden on machin learn practition and data scientist the present studi introduc an access curat and develop public benchmark resourc to facilit identif of the strength and weak of differ machin learn methodolog we compar meta featur among the current set of benchmark dataset in this resourc to character the divers of avail data final we appli a number of establish machin learn method to the entir benchmark suit and analyz how dataset and algorithm cluster in term of perform this work is an import first step toward understand the limit of popular benchmark suit and develop a resourc that connect exist benchmark standard to more divers and effici standard in the futur,Randal S. Olson|William La Cava|Patryk Orzechowski|Ryan J. Urbanowicz|Jason H. Moore,cs.LG|cs.AI,0,0,0,0,0,0
19,2017-03-06T12:10:23Z,2017-03-01T21:05:10Z,http://arxiv.org/abs/1703.00503v1,http://arxiv.org/pdf/1703.00503v1,learn social afford grammar from video transfer human interact to human robot interact,in this paper we present a general framework for learn social afford grammar as a spatiotempor and or graph st aog from rgb d video of human interact and transfer the grammar to humanoid to enabl a real time motion infer for human robot interact hri base on gibb sampl our weak supervis grammar learn can automat construct a hierarch represent of an interact with long term joint sub task of both agent and short term atom action of individu agent base on a new rgb d video dataset with rich instanc of human interact our experi of baxter simul human evalu and real baxter test demonstr that the model learn from limit train data success generat human like behavior in unseen scenario and outperform both baselin,Tianmin Shu|Xiaofeng Gao|Michael S. Ryoo|Song-Chun Zhu,cs.RO|cs.AI|cs.CV,0,0,0,0,0,0
20,2017-03-06T12:10:27Z,2017-03-01T20:09:43Z,http://arxiv.org/abs/1703.00484v1,http://arxiv.org/pdf/1703.00484v1,truth and regret in onlin schedul,we consid a schedul problem where a cloud servic provid has multipl unit of a resourc avail over time selfish client submit job each with an arriv time deadlin length and valu the servic provid s goal is to implement a truth onlin mechan for schedul job so as to maxim the social welfar of the schedul recent work show that under a stochast assumpt on job arriv there is a singl paramet famili of mechan that achiev near optim social welfar we show that given ani such famili of near optim onlin mechan there exist an onlin mechan that in the worst case perform near as well as the best of the given mechan our mechan is truth whenev the mechan in the given famili are truth and prompt and achiev optim within constant factor regret we model the problem of compet against a famili of onlin schedul mechan as one of learn from expert advic a primari challeng is that ani schedul decis we make affect not onli the payoff at the current step but also the resourc avail and payoff in futur step furthermor switch from one algorithm a k a expert to anoth in an onlin fashion is challeng both becaus it requir synchron with the state of the latter algorithm as well as becaus it affect the incent structur of the algorithm we further show how to adapt our algorithm to a non clairvoy set where job length are unknown until job are run to complet onc again in this set we obtain truth along with asymptot optim regret within poli logarithm factor,Shuchi Chawla|Nikhil Devanur|Janardhan Kulkarni|Rad Niazadeh,cs.GT|cs.AI|cs.DS|cs.LG,0,0,0,0,0,0
21,2017-03-06T12:10:27Z,2017-03-01T18:58:48Z,http://arxiv.org/abs/1703.00443v1,http://arxiv.org/pdf/1703.00443v1,optnet differenti optim as a layer in neural network,this paper present optnet a network architectur that integr optim problem here specif in the form of quadrat program as individu layer in larger end to end trainabl deep network these layer allow complex depend between the hidden state to be captur that tradit convolut and fulli connect layer are not abl to captur in this paper we develop the foundat for such an architectur we deriv the equat to perform exact differenti through these layer and with respect to layer paramet we develop a high effici solver for these layer that exploit fast gpu base batch solv within a primal dual interior point method and which provid backpropag gradient with virtual no addit cost on top of the solv and we highlight the applic of these approach in sever problem in one particular standout exampl we show that the method is capabl of learn to play sudoku given just input and output game with no a priori inform about the rule of the game this task is virtual imposs for other neural network architectur that we have experi with and highlight the represent capabl of our approach,Brandon Amos|J. Zico Kolter,cs.LG|cs.AI|math.OC|stat.ML,1,0,0,0,0,0
22,2017-03-06T12:10:27Z,2017-03-01T18:52:23Z,http://arxiv.org/abs/1703.00441v1,http://arxiv.org/pdf/1703.00441v1,learn to optim neural net,learn to optim is a recent propos framework for learn optim algorithm use reinforc learn in this paper we explor learn an optim algorithm for train shallow neural net such high dimension stochast optim problem present interest challeng for exist reinforc learn algorithm we develop an extens that is suit to learn optim algorithm in this set and demonstr that the learn optim algorithm consist outperform other known optim algorithm even on unseen task and is robust to chang in stochast of gradient and the neural net architectur more specif we show that an optim algorithm train with the propos method on the problem of train a neural net on mnist general to the problem of train neural net on the toronto face dataset cifar 10 and cifar 100,Ke Li|Jitendra Malik,cs.LG|cs.AI|math.OC|stat.ML,1,0,0,0,0,1
23,2017-03-06T12:10:27Z,2017-03-01T18:51:13Z,http://arxiv.org/abs/1703.00440v1,http://arxiv.org/pdf/1703.00440v1,fast k nearest neighbour search via priorit dci,most exact method for k nearest neighbour search suffer from the curs of dimension that is their queri time exhibit exponenti depend on either the ambient or the intrins dimension dynam continu index dci offer a promis way of circumv the curs by avoid space partit and achiev a queri time that grow sublinear in the intrins dimension in this paper we develop a variant of dci which we call priorit dci and show a further improv in the depend on the intrins dimension compar to standard dci therebi improv the perform of dci on dataset with high intrins dimension we also demonstr empir that priorit dci compar favour to standard dci and local sensit hash lsh both in term of run time and space consumpt at all level of approxim qualiti in particular relat to lsh priorit dci reduc the number of distanc evalu by a factor of 5 to 30 and the space consumpt by a factor of 47 to 55,Ke Li|Jitendra Malik,cs.LG|cs.AI|cs.DS|cs.IR|stat.ML,0,0,0,0,0,0
24,2017-03-06T12:10:27Z,2017-03-01T18:20:19Z,http://arxiv.org/abs/1703.00426v1,http://arxiv.org/pdf/1703.00426v1,holstep a machin learn dataset for higher order logic theorem prove,larg comput understand proof consist of million of intermedi logic step the vast major of such step origin from manual select and manual guid heurist appli to intermedi goal so far machin learn has general not been use to filter or generat these step in this paper we introduc a new dataset base on higher order logic hol proof for the purpos of develop new machin learn base theorem prove strategi we make this dataset public avail under the bsd licens we propos various machin learn task that can be perform on this dataset and discuss their signific for theorem prove we also benchmark a set of simpl baselin machin learn model suit for the task includ logist regress convolut neural network and recurr neural network the result of our baselin model show the promis of appli machin learn to hol theorem prove,Cezary Kaliszyk|François Chollet|Christian Szegedy,cs.AI,1,0,0,0,0,0
25,2017-03-06T12:10:27Z,2017-03-02T08:09:19Z,http://arxiv.org/abs/1703.00420v2,http://arxiv.org/pdf/1703.00420v2,virtual to real deep reinforc learn continu control of mobil robot for mapless navig,deep reinforc learn has been success in various virtual task but it is still rare use in real world applic especi for continu control of mobil robot navig in this paper we present a learn base mapless motion planner by take the spars 10 dimension rang find and the target posit with respect to the mobil robot coordin frame as input and the continu steer command as output tradit motion planner for mobil ground robot with a laser rang sensor most depend on the obstacl map of the navig environ where both the high precis laser sensor and the obstacl map build work of the environ are indispens we show that through an asynchron deep reinforc learn method a mapless motion planner can be train end to end without ani manual design featur and prior demonstr the train planner can be direct appli in unseen virtual and real environ we also evalu this learn base motion planner and compar it with the tradit motion plan method both in virtual and real environ the experi show that the propos mapless motion planner can navig the nonholonom mobil robot to the desir target without collid with ani obstacl,Lei Tai|Giuseppe Paolo|Ming Liu,cs.RO|cs.AI|cs.LG,1,0,0,0,0,1
26,2017-03-06T12:10:27Z,2017-03-01T17:10:27Z,http://arxiv.org/abs/1703.00391v1,http://arxiv.org/pdf/1703.00391v1,a hypercat enabl semant internet of thing data hub technic report,an increas amount of inform is generat from the rapid increas number of sensor network and smart devic a wide varieti of sourc generat and publish inform in differ format thus highlight interoper as one of the key prerequisit for the success of internet of thing iot the bt hypercat data hub provid a focal point for the share and consumpt of avail dataset from a wide rang of sourc in this work we propos a semant enrich of the bt hypercat data hub use well accept semant web standard and tool we propos an ontolog that captur the semant of the import data and present the bt sparql endpoint by mean of a map between sparql and sql queri furthermor feder sparql queri allow queri over multipl hub base and extern data sourc final we provid two use case in order to illustr the advantag afford by our semant approach,Ilias Tachmazidis|Sotiris Batsakis|John Davies|Alistair Duke|Mauro Vallati|Grigoris Antoniou|Sandra Stincic Clarke,cs.AI|cs.DB,0,0,0,0,0,0
27,2017-03-06T12:10:27Z,2017-03-01T16:50:54Z,http://arxiv.org/abs/1703.00381v1,http://arxiv.org/pdf/1703.00381v1,the statist recurr unit,sophist gate recurr neural network architectur like lstms and grus have been shown to be high effect in a myriad of applic we develop an un gate unit the statist recurr unit sru that is abl to learn long term depend in data by onli keep move averag of statist the sru s architectur is simpl un gate and contain a compar number of paramet to lstms yet srus perform favor to more sophist lstm and gru altern often outperform one or both in various task we show the efficaci of srus as compar to lstms and grus in an unbias manner by optim respect architectur hyperparamet in a bayesian optim scheme for both synthet and real world task,Junier B. Oliva|Barnabas Poczos|Jeff Schneider,cs.LG|cs.AI|stat.ML,1,0,0,0,0,0
28,2017-03-06T12:10:27Z,2017-03-01T14:42:20Z,http://arxiv.org/abs/1703.00320v1,http://arxiv.org/pdf/1703.00320v1,investig the characterist of one side match mechan under various prefer and risk attitud,one side match mechan are fundament for assign a set of indivis object to a set of self interest agent when monetari transfer are not allow two wide studi random mechan in multiag set are the random serial dictatorship rsd and the probabilist serial rule ps both mechan requir onli that agent specifi ordin prefer and have a number of desir econom and comput properti howev the induc outcom of the mechan are often incompar and thus there are challeng when it come to decid which mechan to adopt in practic in this paper we first consid the space of general ordin prefer and provid empir result on the in compar of rsd and ps we analyz their respect econom properti under general and lexicograph prefer we then instanti util function with the goal of gain insight on the manipul effici and envyfre of the mechan under differ risk attitud model our result hold under various prefer distribut model which further confirm the broad use of rsd in most practic applic,Hadi Hosseini|Kate Larson|Robin Cohen,cs.GT|cs.AI|cs.MA|I.2.11; J.4,0,0,0,0,0,0
29,2017-03-06T12:10:27Z,2017-03-01T14:40:22Z,http://arxiv.org/abs/1703.00317v1,http://arxiv.org/pdf/1703.00317v1,trace linguist relat in win and lose side of explicit oppos group,linguist relat in oral convers present how opinion are construct and develop in a restrict time the relat bond idea argument thought and feel re shape them dure a speech and final build knowledg out of all inform provid in the convers speaker share a common interest to discuss it is expect that each speaker s repli includ duplic form of word from previous speaker howev linguist adapt is observ and evolv in a more complex path than just transfer slight modifi version of common concept a convers aim a benefit at the end show an emerg cooper induc the adapt not onli cooper but also competit drive the adapt or an opposit scenario and one can captur the dynam process by track how the concept are linguist link to uncov salient complex dynam event in verbal communic we attempt to discov self organ linguist relat hidden in a convers with explicit state winner and loser we examin open access data of the unit state suprem court our understand is crucial in big data research to guid how transit state in opinion mine and decis make should be model and how this requir knowledg to guid the model should be pinpoint by filter larg amount of data,Ceyda Sanli|Anupam Mondal|Erik Cambria,cs.CL|cs.AI,0,1,0,0,1,0
30,2017-03-06T12:10:31Z,2017-03-01T11:44:18Z,http://arxiv.org/abs/1703.00247v1,http://arxiv.org/pdf/1703.00247v1,learn a physic long term predictor,evolut has result in high develop abil in mani natur intellig to quick and accur predict mechan phenomena human have success develop law of physic to abstract and model such mechan phenomena in the context of artifici intellig a recent line of work has focus on estim physic paramet base on sensori data and use them in physic simul to make long term predict in contrast we investig the effect of a singl neural network for end to end long term predict of mechan phenomena base on extens evalu we demonstr that such network can outperform altern approach have even access to ground truth physic simul especi when some physic paramet are unobserv or not known a priori further our network output a distribut of outcom to captur the inher uncertainti in the data our approach demonstr for the first time the possibl of make action long term predict from sensor data without requir to explicit model the under physic law,Sebastien Ehrhardt|Aron Monszpart|Niloy J. Mitra|Andrea Vedaldi,cs.AI|cs.NE,1,0,0,0,0,0
